"10","2004-08-0205","2012-11-28","2012-12-26"
"11","2004-08-0212","2012-11-28","2012-12-26"
"12","2005-10-0373","2013-02-25","2013-03-23"
"13","2007-07-0742","2013-03-24","2013-04-22"
"16","2012-11-1361","2013-01-24","2013-02-22"
"17","2012-11-1361","2013-02-24","2013-03-22"
"18","2012-11-1361","2013-03-24","2013-04-22"
"19","2012-11-1361","2013-04-24","2013-05-22"
"20","2012-11-1361","2013-05-24","2013-06-22"
"21","2012-11-1361","2013-06-24","2013-07-22"
"23","2010-08-1081","2013-02-24","2013-03-22"
"24","2004-05-0015","2013-02-24","2013-03-22"
"25","2008-10-0866","2013-07-24","2013-08-22"
"26","2013-01-1383","2012-03-24","2012-04-22"
"27","2010-08-1081","2013-07-24","2013-08-22"
"32","2004-05-0084","2013-08-24","2013-09-22"
"34","2004-05-0100","2013-05-24","2013-06-22"
"35","2004-05-0100","2013-06-24","2013-07-22"
"36","2004-05-0100","2013-07-24","2013-08-22"
"38","2004-05-0100","2013-08-24","2013-09-22"
"41","2004-05-0004","2013-04-24","2013-05-22"
"42","2004-05-0004","2013-05-24","2013-06-22"
"43","2004-05-0004","2013-06-24","2013-07-22"
"44","2004-05-0004","2013-07-24","2013-08-22"
"46","2005-03-0272","2013-01-24","2013-02-22"
"47","2005-03-0272","2013-02-24","2013-03-22"
"48","2005-03-0272","2013-03-24","2013-04-22"
"49","2005-03-0272","2013-04-24","2013-05-22"
"50","2005-03-0272","2013-05-24","2013-06-22"
"51","2005-03-0272","2013-06-24","2013-07-22"
"52","2005-03-0272","2013-07-24","2013-08-22"
"53","2005-03-0272","2013-08-24","2013-09-22"
"54","2011-09-1236","2013-06-24","2013-07-22"
"63","2004-05-0096","2013-06-24","2013-07-22"
"64","2004-05-0096","2013-07-24","2013-08-22"
"65","2004-05-0096","2013-08-24","2013-09-22"
"66","2006-12-0666","2013-06-24","2013-07-22"
"67","2006-12-0666","2013-07-24","2013-08-22"
"68","2006-12-0666","2013-08-24","2013-09-22"
"74","2008-11-0882","2013-07-24","2013-08-22"
"75","2008-11-0882","2013-08-24","2013-09-22"
"76","2009-04-0917","2013-01-24","2013-02-22"
"77","2009-05-0923","2013-08-24","2013-09-22"
"78","2009-04-0917","2013-02-24","2013-03-22"
"79","2009-04-0917","2013-03-24","2013-04-22"
"80","2009-04-0917","2013-04-24","2013-05-22"
"81","2009-04-0917","2013-05-24","2013-06-22"
"82","2009-04-0917","2013-06-24","2013-07-22"
"85","2004-05-0066","2013-06-24","2013-07-22"
"86","2004-05-0066","2013-07-24","2013-08-22"
"87","2004-05-0066","2013-08-24","2013-09-22"
"90","2012-05-1289","2013-06-24","2013-07-22"
"93","2009-05-0920","2013-07-24","2013-08-22"
"99","2011-07-1224","2013-08-24","2013-09-22"
